genre,Like,stemming_data,Score,Sentiment
animasi,0,anak jiwa gue bangga menang film bagus,0,Netral
animasi,2.0,ayo ramai khasanah jumbo negara,1,Positif
animasi,1.0,kemarin tonton cgv diri keren moga jumbo ii rilis cowok,0,Netral
animasi,0,ohhhhh dontollllllbaru tau,-1,Negatif
animasi,0,tau akun kerenmakasih video nya ya,0,Netral
animasi,1.0,film bikin anak excited,-2,Negatif
animasi,0,isi suara kambing penasaran anne,-2,Negatif
animasi,0,tekotok video next,-1,Negatif
animasi,2.0,cinta karya indonesia,1,Positif
animasi,1.0,seru banget tonton review rasa menit,-1,Negatif
animasi,1.0,react keren,0,Netral
animasi,0,beres tonton sejalanjalan pulang bengong saking kesima film the best,-1,Negatif
animasi,1.0,abang lu jalur review tunggu,-1,Negatif
animasi,0,visinema film animasi kancil tayang,1,Positif
animasi,0,bagus banget film,1,Positif
animasi,0,film memorable tuju soundtrack ya bikin menang film kayak nge pukpuk issue dibully teman pas abang ryan bilang film anakanak anakanak dalam,1,Positif
animasi,0,iya tau film mata kaca kaca smuanya saji pas,0,Netral
animasi,1.0,banggggg tunggu breakdown daredevil,0,Netral
animasi,0,cerita atta relate banget hidupkujadi menang banget,2,Positif
animasi,1.0,apresiasi sutradara ya keren ya,1,Positif
animasi,0,dukung animasi indonesia go internasional,1,Positif
animasi,1.0,lihat film jumbo seru laguya seru,1,Positif
animasi,0,moga dot sen ikut ngisi suara asih cerita,0,Netral
animasi,0,excited rian kali nge tease jumbo podcast merinding tonton bangga hasil,-1,Negatif
animasi,0,mewek diam diam seni tonton jumbo seutuhnyagood vishan film ya salut terlibatmaju perfileman animasi indonesia,-1,Negatif
animasi,1.0,tuju banget film,1,Positif
animasi,12.0,sifat nurman lo cik bikin bikin bikin,0,Netral
animasi,0,film keluarga layak banget dinonton,1,Positif
animasi,0,respect animator indonesia saat perintah pilih ai,-1,Negatif
animasi,2.0,tonton kali keluarga teman adik panti asuh bosan bawa emosi film jumbo keren,0,Netral
animasi,0,nusa jumbo bangkit film animasi indonesia,0,Netral
animasi,0,orang indonesia cepat ajar slogan indonesia emas negara maju hayalan mimpi kosong,0,Netral
animasi,0,kali abang mewekdan don yatim piatu apresiasi banget film inilagu lagu nyandu jempollll abang ryan,2,Positif
animasi,1.0,lets go juta tonton jumbo,0,Netral
animasi,0,film mikirnya sih don sih dontol nurman wkwk,0,Netral
animasi,0,suka nirman orang solutif,0,Netral
animasi,5.0,nangesss banggaaa,0,Netral
animasi,0,nusa bagus film animasi kartun cantik,0,Netral
animasi,0,coba bikin kisah nurman tarik,1,Positif
animasi,0,animasi cerita soundtracknya bagus banget tonton film akak sedih takjub keren banget indonesia film animasi keren moga depan animasi indonesia maju,1,Positif
animasi,0,abang bahas film animanasi pedelpop,1,Positif
animasi,0,abang lanjut daredevil abang,0,Netral
animasi,0,film sanget biar beru kali ya tonton samapi kedip saking enak ya malihat segi visual keren carita ya,1,Positif
animasi,0,mbak belah sengguk don nyanyi pentas,-1,Negatif
animasi,0,what you sayang is right abang gue hitung tua pas tonton gue menang abang nth pas lagu cakap orang tua don ngena banget gue pas pentas don gue menang,3,Positif
animasi,1.0,nurman man of the match ya film,0,Netral
animasi,0,keren indonesia,0,Netral
animasi,0,suka karaktera ata usaha bantuin abanga pincang anak umur pemikirana dewasa banget servis radio,2,Positif
animasi,0,abang niat bikin breakdown detail easter eggs daredevil,1,Positif
animasi,0,harap depan film animasi asli indonesia cerita bulutangkis sepakbola tuju motivasi anakanak indonesia olahraga prestasi bidang olahraga,1,Positif
animasi,1.0,gue jelasin lu abang gue percaya rasa bangaet emosional lu abang rasa sukses keramagz animasi indonesia visinema support ya,2,Positif
animasi,1.0,sabar sih keluarga somad the movie,1,Positif
animasi,0,animasi pixar film up toys stroy,0,Netral
animasi,0,tonton kali abang,-1,Negatif
animasi,1.0,parah parah parahkeren,-2,Negatif
animasi,0,keren tuh suport animasi ya bagus spongebob kalah tuh,0,Netral
animasi,0,moga bioskop hongkong adasaya tonton,0,Netral
animasi,4.0,kemarin lebaran tonton pabrik gula pilih istri ane pengin qodrat jumbo kalah istri tonton pabrik gula hasil nyesal tonton pabrik gula film ampas,-6,Negatif
animasi,0,film baik tonton,-1,Negatif
animasi,2.0,fyi karakter nurman terinsipirasi karakter mahar film laskar pelangi,1,Positif
animasi,0,favorit gue abang acilll,0,Netral
animasi,0,gue pas tonton omong dontol bioskop wkwk,-1,Negatif
animasi,0,malam habis tonton film pabrik,-2,Negatif
animasi,1.0,gue harap banget ajuin oscar tau masuk nominasi best animated feature film wakil indonesia masuk nominasi best international film tolong bawa film festival film negeri,-2,Negatif
animasi,0,daredevil abang,0,Netral
animasi,0,cok jasa,1,Positif
animasi,0,bikin anak usia mewek nih film keren habis,-2,Negatif
animasi,0,review,0,Netral
animasi,2.0,oh daredevil oh daredevil,0,Netral
animasi,0,visual ya jumbo visual ya up i like,2,Positif
animasi,0,keren banget film rilis tele sabar pengin tonton,2,Positif
animasi,0,lakilaki dewasa menang filem untung duduk pojok,0,Netral
animasi,0,tonton pixar sih,-1,Negatif
animasi,0,nurman karakter banget maher nama lupa pokok radio film laskar pelangi anak pengembala kambing karakter ceria wajah,0,Netral
animasi,0,benar bagus sih animasi bang respect full animator indonesia partisipasi buat animasi ok breakdown series daredevil born again geram,3,Positif
animasi,1.0,abang update daredevil,0,Netral
animasi,0,keran film kak,-1,Negatif
animasi,0,suka nurman,0,Netral
animasi,0,fun fact karakter nurman tribute inspirasi karakter mahar film laskar pelangi peran mendiang verrys yamarno ryan adriandhy sutradara bilang,-1,Negatif
animasi,0,good lucky,1,Positif
animasi,0,indonesia kah keren ya emejing,1,Positif
animasi,0,wajar film libat asa lucu seru haru up toy story bagus wakil the point is visinema come on si time show the world this is indonesia,1,Positif
animasi,0,bagus sih pakai suara anak asli film lanjut jumbo series anak suara tumbuh,-1,Negatif
animasi,0,pengin tonton film nusa rara mana yaoiya lu ipin ipin isi suara cewek iti tumbuh remaja,-2,Negatif
animasi,0,terima kasih vsinema pictures abang rian,1,Positif
animasi,0,film gue heran lihat potong film jumbo langsung tarik langsung luncur bioskop film keren animasi halus banget,4,Positif
animasi,0,penuh emosional sampai abang keren,0,Netral
animasi,1.0,wajib banget nih tonton tayang anak kalah sinetron pacar,-2,Negatif
animasi,1.0,karakter favorit nurman,0,Netral
animasi,0,gue suka karakter sih ata suara asik banget dengar,3,Positif
animasi,0,desain face don film jumbo kayak jiplak karakter russel film up misi darat rumah angkat balon tempat air terjun victoria falls amerika selatan,-1,Negatif
animasi,1.0,rw nurman,0,Netral
animasi,0,oke besok cus bioskop,1,Positif
animasi,0,sap sap sapp,0,Netral
animasi,0,film animasi pengaruh emosi penontonbdewasa film jalan cerita bagus moga rangsang buat film animasi buat lokal n kuasa pasar film animasi dunia,3,Positif
animasi,0,abang geter suara lo nyampek,0,Netral
animasi,0,wkwkwk tuju redemption sadar akhir don dontol,1,Positif
animasi,0,tonton wkwk,-1,Negatif
animasi,0,sayang daerah gua bioskop moga masuk platform subscription vod,-1,Negatif
animasi,0,film bagus scene umur menang,0,Netral
animasi,0,abang daredevil eps breakdown ya,1,Positif
animasi,0,sepakat nurman mvp,1,Positif
animasi,0,tekotok duh haru banget,0,Netral
animasi,0,juta wehhhh,1,Positif
animasi,10.0,abang pas menit terakihirabg lelwhin air mata yswmngat bangayo dukung jumbo minimal juta penontonini lomban film hebat gendong bangkit kuat film animasi mata duniaindonesia,-1,Negatif
animasi,0,katakata favorit oma don inti peran masingmasing katakatanya benar terap film,-1,Negatif
animasi,0,keren ku animasi,0,Netral
animasi,0,fyi sutradara nurman inspirasi hormat karakter mahar film laskar pelangi,-1,Negatif
animasi,0,panitia datar panitia panik memorable,2,Positif
animasi,"2,2 rb",video asli jam paksa gua ringkas menit gua bahas aspek industri animasi alas investor invest animasi negeri sdm perintah ph masyarakat gua bahas durasi gua potong sila diskusiin kolom komentar kali live sabtu malam gua bahas detail oiya aspek teknis gua bahas seminar gua bahas youtube,-5,Negatif
animasi,974,alas utama gue tonton support apresiasi maksimal gue biar animasi karya anak indonesia bikin karya bagus kurang indonesia level tuh achievement patut bangga maju animator indonesia mantabh,2,Positif
animasi,369,jumbo full edukasi anak emak bapak wakil banget sungkan berani speak up orang tua haru banget cerita potentially trigger giat animasi lokal kompeten ternotice moga berlombalomba baik industri animasi indonesia,0,Netral
animasi,185,butuh indonesia upgrade level film animasi film juluk transformers ya indonesia muncul film jumbo muncul cerita hidup teknologi hp tanda butuh negara indonesia animasi lokal keren support animasi lokal bagus bagus bosan kritik sesuai puji apresiasi animasi lokal bagus kritik bangun puji apresiasi aku moga depan indonesia animasi lokal bagus kayak moga depan animator lokal animasi bagus bagus lokal dewa global kalah nilai detail muas gerak wajah gerak tubuh gerak mulut suara gera pikselnya guna ai ya ost ya bgm ya lihat kilas bagus sih smooth tampil karakter cerita masingmasing tampil karakter lumayan aspek ya kayak rumah pekarang area ya bagus,7,Positif
animasi,"1,2 rb",jujur ninton film jumbo nafas lega film maker indonesia pikir film anak anak indonesia khawatir film indonesia sampah pikir pasar pesan adaaa film indonesia anak anak senang rasanyaaa sama kelas disney pixar jujur pr garap dukung butuh kembang sayang jatuh perintah,-4,Negatif
animasi,35,ih takotnye,0,Netral
animasi,71,absolute cema sinematik dewa banget illustrator kritik concept art arwah turut fantasi design karakter tuju sih design sih arwah orang tua radio could be better khawatir sepi support kecewa perintah gara bikin animasi ai maju animasi indonesia makan tuh ai rezim pepek,-3,Negatif
animasi,592,barusan space kali bareng produser mas angga orang layar utama film jumbo teknologi bangun pluginnya pakai aplikasi blender open source inti ajar film jumbo internet listrik kendala beliaubeliau kreator sebar indonesia lagilagi peran perintah sangatsangat film jumbo pondasi bagus film animasi film benarbenar kelas disney pixar bismillah film animasi indonesia,-2,Negatif
animasi,320,real sih gue kemarin malaysia lihat stasiun mrt poster mechamato boboiboy segitu support ya buat lokal,4,Positif
animasi,2,akak banget scene level zoom muka dontol,1,Positif
animasi,17,bro lepas segel,-1,Negatif
animasi,155,nama hair physic rig gerakin kepala ya rambut gerak cloth physic beda gerakin badan kaki ya baju celana ikut gerak pakai teknik animasi mana dubber kasih suara ikut akting animatornya ekspresi pakai maya livelink pakai hollywood gampang baik maya livelink ya dubber aktor isi suara doang,-1,Negatif
animasi,17,abang gue tuju poin bilang plot patah tonton gue rasai tibatiba hah fantasi slice of life build up ya kuat fantasi ya papa depan jujur bantu banget sinematografi mulus scoring ostnya senang kesimpen kepala even bioskop humming the song thank you reviewnya abang overall jumbo is a great animation bangga trobosan biar dunia film dukung jumbo,8,Positif
animasi,43,lhaah sama bangdl tonton youtube harap nih video full movienya,0,Netral
animasi,8,lakons studio nyala abang,0,Netral
animasi,2,intro ya sarkas upload jumbo full movie youtube isi video ya trailer ulang ulang,2,Positif
animasi,935,jumbo terobos bangga indonesia teliti aspek ditingkatin naskah plot review ngelantur kritis banget on point captionnya keren bangga puas bikin aneh orang fokus element horor bilang seram anak tonton fokus meaning jumbo banget terima hilang tepat janji dengar at the end jumbo dukung bersamasama sukses pasar sineas indonesia berani animasi horor viral modal thread based on true story oiya animasi pakai ai loh yapriittt,2,Positif
animasi,11,sumpah tau introvert abang,-1,Negatif
animasi,2,well played bang suka lihat abang mode roasting terus bang wkwkwkwkw,1,Positif
animasi,20,industri animasi indonesia salah ter was at this moment that he knew he fked up,-1,Negatif
animasi,4,duit pakai iklan google one,0,Netral
animasi,0,awowkok nemu nih channel asik banget editing nya,1,Positif
animasi,5,pakai blender tuh keren banget maksimal open source software,1,Positif
animasi,11,keluarga somad,0,Netral
animasi,10,bangun abang jumbo juta,1,Positif
animasi,438,malaysia excited nak tonton filem nitapi rezeki menontonkalau kilas lihat filem usaha filem nih hasil excited nak tngokso korang warga indonesia support filem nikalau lepas tonton korang filem wowjangan jatuh mendukungingat tau jaya jaya langkah jalan animasi malaysia jalan capai jaya sekarangso support bekarya harap usaha baik tingkat mutu kerja hasil karya alit,7,Positif
animasi,5,abang pas sd,1,Positif
animasi,10,absolute cema lokal,-1,Negatif
animasi,6,terima kasih ngelantur gua awam film bantu sih film bagus channel gua lihat thumbnail video manjurrrrr wkwkwkwk,0,Netral
animasi,5,rasai abang,1,Positif
animasi,0,maju animasi indonesia mncba support memontonya laku mndukung animasi indonesia,1,Positif
animasi,8,mantap abang suka kritik abang cuman bagus dijabarin kasih saran kayak orang cuman ngejelekin asih saran benerbener asih tau mana bagus,-2,Negatif
animasi,227,argumen pov meri taruh tuju sih aneh transisi kenal meri overall film animasi bagus banget urus teknis mah penting breakthrough film animasi indonesia level gua pribadi kasih score solid,0,Netral
animasi,1,abang review film kepung bukit duri tunggu ya,0,Netral
animasi,8,tuju micro ekspresi abang ucap bibir lafal vocal o kayak lu e kayak i detail sih sadar,-2,Negatif
animasi,304,gua paham preferensi abang ya gua erti bagus film animasi fokus utama ya anakanak pilih scene ngenalin don karakter utama gua anakanak kasih konflik tau konteks ya bingung hah hoh duluan film ya film fokus anakanak tonton sampai film gua dongeng anak ya kasih kenal vibes ya indah tengah konflik dsb resolusi pure dapat ku loh ya diskusi buka banget hihi,3,Positif
animasi,0,samping konten info beli outer abang pakai beli mana plis,-2,Negatif
animasi,4,generasi bang rasai main gadget anak lahir bang rasai moment,1,Positif
animasi,228,gembel perintah dukung pakai ai perintah dukung promosi indonesia negara kayak tetangga upin ipin boboiboy sersan ali negara kenal malaysia tambah devisa negara ku sih jumbo kacamata lokal keren tonton minggu haru keren dubber bayang kambing dubber chicko jericho ganindra bimo angga dwimas sasongko sangatsangat approved tonton rekomendasi,-1,Negatif
animasi,8,gue tuju abang patah plot fantasi build plot meri rasa patah banget pas ceritain originnya perfect sih segi plot,-1,Negatif
animasi,91,dubbing gue tuju abang sutradara pengin tiru kayak tmnt mutant mayhem asumsi gua sutradara tmnt hidup suasana ya sih suara orang dewasa anak dimixing komposer suara ya selera putus produser sutradara plusminusnya,-2,Negatif
animasi,14,kenap vina abang,0,Netral
animasi,0,wkwkwk nih iklan,1,Positif
animasi,5,matursembah nuwun dhumateng ngelantur sampun purun mirsani jumbo,0,Netral
animasi,4,mantap tonton ajak keluarga,1,Positif
animasi,0,iyalho pas tonton kemarin bioskop smoth banget animasinyagk kaku keren sidukung banget karya anak bangsa,2,Positif
animasi,5,tunggu review qodrat,0,Netral
animasi,61,kayak hitler kumis ya,0,Netral
animasi,0,abang coba bahas kancilyang animasiin visinemascifi diaudah frist look nyadi visinema kancil official,1,Positif
animasi,11,salut jumbo salah satu pilih lagu kumpul bocah orinya by vina panduwinata nyanyi maliq dessentials ruh lagu hilang lagu pas jaman bocil dengar pas gede aransemen nyanyi beda recal memori jadi,2,Positif
animasi,5,btw garap animatenya gera animasi motion circus studio studio garap project animasi negeri kaleng,0,Netral
animasi,0,masuk keren banget abang gue bayang jumbo gambar papar kisah mery keren abang,0,Netral
animasi,31,langsung kasih bos fight bos embul,3,Positif
animasi,4,tinggal tunggu review qodrat nya,0,Netral
animasi,0,review dmc netflix barubang,0,Netral
animasi,21,film jumbo studio menang lagu dubbing ya sempurna ucap keren,1,Positif
animasi,392,orang malaysia filem nih jadi batu loncat langkah kanan animasi indonesia moga nih filem animasi bagus filem animasi level jumbo,2,Positif
animasi,2,riviewer filmkartun jujur bestt ngelantur,0,Netral
animasi,7,gila detail banget tuju sih,2,Positif
animasi,188,guys film tempat komposisi cerita ya beranta unsur fantasi ya pakai logika kartun fantasi tinggal otak,4,Positif
animasi,2,gue subscribe lucu kak,0,Netral
animasi,14,tonton mikir reng plot dunia hantu wkwk pikir solusi habis dengar langsung iya,2,Positif
animasi,5,abang bahas norma,1,Positif
animasi,0,nice sih ya film tau pr dunia film animasi,1,Positif
animasi,3,kak plot konflik meri sambung banget sih masuk bangun moga animasi buat indonesia bagus,1,Positif
animasi,8,pilih pakai ai efisiensi anggar gaperlu uang bikin promosi program makan gratis positive thingking,1,Positif
animasi,1,openingnya overa van java,0,Netral
animasi,12,,0,Netral
animasi,12,gue suka vo anak vo meri omong clear banget bikin hah omong sih,-2,Negatif
animasi,2,abang coba next video bahas film bidaah aktor ya walid viral,1,Positif
animasi,5,sangka jumbo buat menang parah ktmbg kakak ponakan raya mati voice acting skoring lagu bikin haru sesak pilih cast naskah bagus ajak anak tonton menang orang tua orang dewasa sengguk karakter bumi mdh simpati atta antagonis sedih juang don mengingatkanq chouji gendut remeh teman season eps makan pil merah menang sih pas tonton kali globaltv beda don yatimpiatu rindu orang tua derita gabung chouji naruto endingnya naruto don ketemu orang tua dengar suara serius tonton bioskop sayang banget lewat,-8,Negatif
animasi,3,penasaran jumbo,-1,Negatif
animasi,0,review versi ngelantur film the last supper thanks,1,Positif
animasi,26,support masyarakat animasi lokal moga kerjasama animasi malaysia indonesia mendonia,3,Positif
animasi,536,ajg gue sadar nih capcut compressnya parah banget klip blur,-1,Negatif
animasi,0,pesan moral film film anakanak durhaka bohong tertib dll ajar dengar peduli sisi fresh bawa bagus anakanak,-1,Negatif
animasi,458,wapresnya support ai support,2,Positif
animasi,8,pas jelang tidur paham konflik sih sih buru hantu motivasi nangkep tidur orang tua sulit cerna anak anak suka cerita kritik ya wkwkwk depan mudah cerna cerita anakanak,-2,Negatif
animasi,0,mas review film blood brothers kepala naga please,-1,Negatif
animasi,8,real bro,1,Positif
animasi,3,gue tonton jumbo gegara bioskop film cerita selingkuh ya horor gue mama gue ya kali ajak tonton film orang selingkuh horor dua takut banding bayang rumah pas film jumbo dilist kategori su ya ku tonton eh pas tonton lihat film animasi indonesia hd cerita beda kayak bagus banget turut scene pas tampil scene don hantu ribut belakang panggung bawa emosi pliss,0,Netral
animasi,0,abang ngelantur req vid aktorkarakter favorit abang subjektif karakter favorit,0,Netral
animasi,81,alas gua tonton ngelantur indonesia gua pengin tonton film pengin gua tonton review jujur jelas keren pakai sense tonton film ya,-6,Negatif
animasi,5,anomali jumbo universe wakanda,0,Netral
animasi,0,moment villain cutscene film monster inc mana direktur usaha asih tau tuju sally sally jebak panggung,0,Netral
animasi,3,abang bahas film malaysia bidaah walid ambatukam,1,Positif
animasi,1,sumpah sih pas karakter meri masuk cerita asa kayak masuk cerita beda kayak pas kayak build up karakter pas,-3,Negatif
animasi,3,anjay trending abang wkwk,-1,Negatif
animasi,26,bang asih tau tuh dianimasiindibuat helai software tools bikin rambut gerakin kepala brutal apa rambut ya ikut gera gravitasi kepala,-3,Negatif
animasi,0,bang coba riview film kancil saber visinema tolong,0,Netral
animasi,6,turut mae iya sih mae buat kayak cewek gampang dikit don dikit nurman dikit atta numpang damping doang samping serah ku film bagus film lokal dimensi,-4,Negatif
animasi,16,gue ngrasa dialog anak didubbing bocil benar ya ngrasa dialog bocil benar gue tau pas tonton dubber ya anak benar orang dewasa tnyta bocil benar dubber ya otentik pure murni suara khas anak ya kayak gue tuju dubber ya orang dewasa kayak suneo nobita doraemon giant sincan dll nih relate banget kondisi hidup masyarakat indonesia scara real gue tuju animasi electricity power lebay reng film animasi kayak wow hidup jujur scene favorite gue epic fight babak don keluar melati hati efek blasting kayak ala superhero power mmbuat film animasi mononton scara kayak mcu pakai efek cgi rumit susah realistic ya mending explore film animasi kayak gue tuju babak tengah meri muncul konflik cari orang tua diliatin kilas cuplik film kayak film superhero ala mcu dc transformer plot kayak timbang nih film anak dmunculin darkside ya entar kritikus muncul hantu meri nih content creator centang biru medsos koar pakai hantu blabla entar gue jelasin anak gue meri n orang tua gue its ok efek cgi ala animasi usung konsep unrealistic fantasy film mnggabungkan realitas kondisi hidup masyarakat indonesia percaya masyarakat makhluk kasat mata mskpun tllu janggal mnurut gue scene magical power selimutin nisan makam meri n orang tua mereke ber dtangkap radio portal dimensi ber pindah alam frekuensi radio bikin don obrol orang tua,-8,Negatif
animasi,2,lihat detail cinta film fantasi anime animasi gibli dll mikir nih overall baik industri film animasi indonesia segi ide detail jalan cerita lu kategori su bagus banget apresiasi harap moga bxk trobosan arah lu terima kancah internasional,6,Positif
animasi,10,bikin sedihbuat project animasi tanah airyg bayar proper jumbo sih bangdan hasil demikianjadi yaindustri animasi tanah airpr bikin gap lagike pendanaandewa animasi kabur ya luar hidup layakjau banget banding negeribukan bagusadatapi saking jarangnyapekerja animasi hidup proper negeri oknumlebih anomali,2,Positif
animasi,21,jelasss jumbo dicomparenya film animasi jalan film animasi konsisten kayak skala nasional film animasi baik gua moga depan film film jumbo,-1,Negatif
animasi,1,sengaja tonton film ya tonton sama persepsi yaaaaahhh suara dapat banget plot,0,Netral
animasi,56,ryan adriandhy hati tonton haru,-1,Negatif
animasi,4,suruh tonton film dosen tugas matkul desain konten digital,-2,Negatif
animasi,1,lagu kumpul bocah nyanyi asli ya vina panduwinata malik n esensial covering,2,Positif
animasi,26,enak klise sih abang struktur film kartun pakai prolog awal nunjukin villainnya kartun scoobydoo tuh jumbo tarik sih emphasis konflik tekanin konflik don teman pas tengah konflik skala karakter meri ya gue tujuh sih pas subplot merry tarik,7,Positif
animasi,6,bro suara,0,Netral
animasi,2,ku syukur banget bangga perfilaman animasi indonesia wow keren moga bioskop tonton keluarga anak drpda horror asli bosan banget lihat horror masyarakat indonesia sngbya mistis mkny takut,5,Positif
animasi,63,its not a perfect animation movie but its a good start keep on the good work for me well done,2,Positif
animasi,3,waktynya merah putih one for all,-1,Negatif
animasi,1,bangga sih moga depan film indonesia utama film anak tuju ya anak poksi nontonnya cinta,1,Positif
animasi,546,turut wajar bagus kualitas animasi hollywood langkah tentu tonton dukung dukung bagus dukung iring jalan animasi kualitas mudahmudahan saing animasi hollywood kaca hollywood mewah grafik animasi jaman kalah start cepat curi start ulik duluan ya tahu indonesia tinggal simpul dukung animasi lokal harap talentatalenta bakat tingkat kualitas animasi depan realisasi cepat perintah dukung sdm dana cari sumber daya manusia ya bakat opini potensi animasi indonesia harap moga film jumbo harap inspirasi animator animasi animasi film jumbo yakin semangat animator indonesia,9,Positif
animasi,12,menit pas film nampilin tekstur baju orang tua don situ haru gillaaa indonesia bikin kayak pas lihat kredit scenenya ngerjain orang indonesia haru respect pokok ratus orang ngegarap film juang sia,0,Netral
animasi,0,tuju banget lo animasi film ekspresi gerak mulut rasa banget voice actornya ekspresif muka animasi,0,Netral
animasi,3,moga irfan seventeen kasih support film animasi indonesia iya kali direktur,3,Positif
animasi,14,lihat iklan jumbo bioskop speechless bagus banget animasi mikir mah tingkat disney ya kreator bakat sembunyi tembus eropa bangga banget,7,Positif
animasi,0,kayak film upin ipin ya awal opet musang konflik dimunculin,0,Netral
animasi,37,senin kemarin tonton jumbo orang awam cuman tonton tau teknik animasi sinematografi dll gue animasi kadang konsisten kayak cuman karakter don detail cerita dialog dubbing nyatu emosional tonton upin ipin the movie opetnya tahun rasa emosi though this is the movie you have support by buying its ticket commander erwin katakanweve taken one more step toward the truth,-4,Negatif
